n_bin,bin,bin_from,bin_to,bin_size,variable,ppt_djf,ppt_jja,variable_metric,metric
76,"(212.675,212.7]",212.675,212.7,0.025,ppt,1.6166406207899985e-4,0,ppt_djf,djf
77,"(212.775,212.8]",212.775,212.8,0.025,ppt,6.466562483159993e-5,0,ppt_djf,djf
78,"(212.875,212.9]",212.875,212.9,0.025,ppt,7.544322897019993e-5,0,ppt_djf,djf
79,"(212.975,213]",212.975,213,0.025,ppt,4.3110416554399954e-5,0,ppt_djf,djf
80,"(213.075,213.1]",213.075,213.1,0.025,ppt,5.388802069299995e-5,0,ppt_djf,djf
81,"(213.175,213.2]",213.175,213.2,0.025,ppt,4.3110416554399954e-5,0,ppt_djf,djf
82,"(213.275,213.3]",213.275,213.3,0.025,ppt,1.4010885380179986e-4,0,ppt_djf,djf
83,"(213.4,213.425]",213.4,213.425,0.025,ppt,1.0777604138599989e-5,0,ppt_djf,djf
84,"(213.475,213.5]",213.475,213.5,0.025,ppt,5.388802069299995e-5,0,ppt_djf,djf
85,"(213.5,213.525]",213.5,213.525,0.025,ppt,4.3110416554399954e-5,0,ppt_djf,djf
86,"(213.575,213.6]",213.575,213.6,0.025,ppt,7.544322897019993e-5,0,ppt_djf,djf
87,"(213.675,213.7]",213.675,213.7,0.025,ppt,7.544322897019993e-5,0,ppt_djf,djf
